B._velezensis_strain_DJ4.fna	B._velezensis_strain_JM199.fna	97.3907	1261	1338
B._velezensis_strain_DJ4.fna	Strain_FO-S2.fna	97.2913	1253	1338
B._velezensis_strain_DJ4.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	81.2613	668	1338
B._velezensis_strain_DJ4.fna	B._subtilis_strain_YZ-1.fna	81.2276	675	1338
B._velezensis_strain_DJ4.fna	B._subtilis_strain_4ZT.fna	81.2027	694	1338
B._velezensis_strain_DJ4.fna	B._subtilis_strain_K35-1.fna	81.1155	667	1338
B._velezensis_strain_DJ4.fna	B._subtilis_strain_SRCM116301.fna	80.9905	679	1338
B._velezensis_strain_DJ4.fna	B._subtilis_strain_PK5_52.fna	80.983	684	1338
B._velezensis_strain_DJ4.fna	B._halotolerans_strain_KKD1.fna	80.93	733	1338
B._velezensis_strain_DJ4.fna	B._sonorensis_strain_SRCM101395.fna	78.8648	349	1338
B._velezensis_strain_DJ4.fna	B._paralicheniformis_strain_SUBG0010.fna	78.8395	363	1338
B._velezensis_strain_JM199.fna	B._velezensis_strain_JM199.fna	100	1382	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_Ag75.fna	98.4238	1263	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_SCGB_574.fna	98.0103	1251	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_BS-G1.fna	97.9717	1251	1385
B._velezensis_strain_JM199.fna	Strain_FO-S2.fna	97.7265	1292	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_NJAU-Z9.fna	97.525	1239	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_SMU-T0423.fna	97.4966	1246	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_Pm9.fna	97.4885	1237	1385
B._velezensis_strain_JM199.fna	B._velezensis_strain_DJ4.fna	97.2663	1285	1385
B._velezensis_strain_JM199.fna	B._subtilis_strain_YZ-1.fna	81.2059	691	1385
B._velezensis_strain_JM199.fna	B._halotolerans_strain_KKD1.fna	81.1452	740	1385
B._velezensis_strain_JM199.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	81.0982	672	1385
B._velezensis_strain_JM199.fna	B._subtilis_strain_K35-1.fna	81.0667	699	1385
B._velezensis_strain_JM199.fna	B._subtilis_strain_4ZT.fna	81.0557	699	1385
B._velezensis_strain_JM199.fna	B._subtilis_strain_PK5_52.fna	81.017	691	1385
B._velezensis_strain_JM199.fna	B._subtilis_strain_SRCM116301.fna	80.9647	693	1385
B._velezensis_strain_JM199.fna	B._paralicheniformis_strain_SUBG0010.fna	78.789	363	1385
B._velezensis_strain_JM199.fna	B._sonorensis_strain_SRCM101395.fna	78.7453	355	1385
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_NJAU-Z9.fna	100	1289	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_SMU-T0423.fna	99.4113	1256	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_DJ4.fna	99.3981	1258	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_Pm9.fna	99.3568	1239	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_SCGB_574.fna	97.6337	1246	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_Ag75.fna	97.5818	1237	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_BS-G1.fna	97.5717	1243	1289
B._velezensis_strain_NJAU-Z9.fna	B._velezensis_strain_JM199.fna	97.5114	1243	1289
B._velezensis_strain_NJAU-Z9.fna	Strain_FO-S2.fna	97.4392	1218	1289
B._velezensis_strain_NJAU-Z9.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	81.2638	659	1289
B._velezensis_strain_NJAU-Z9.fna	B._subtilis_strain_K35-1.fna	81.2461	667	1289
